2015-05-11 10:16:11,120 pool-1-thread-1 INFO [PROXYSERVER - 224] - 3423023d-291f-4125-a6b6-48b7980006f8   GET / HTTP/1.0
2015-05-11 10:16:11,121 pool-1-thread-1 INFO [PROXYSERVER - 230] - 3423023d-291f-4125-a6b6-48b7980006f8   host: www.m6go.com
2015-05-11 10:16:11,122 pool-1-thread-1 INFO [PROXYSERVER - 238] - 3423023d-291f-4125-a6b6-48b7980006f8   cookie: _jzqckmp=1; pgv_pvi=995857408; pgv_si=s6469044224; MallVisited=MallRecentlyVisitedGoods=Kl%2fwiCa2XFzVdJV2x8qBfVBt558qXnu4yzim68qSnXw%3d; _gat=1; DaiGou=ReferUrl=&FrontUrl=BWFrplj8PY9La2qeT8D0MbHN5wYFmetRjT1QvrR9u%2fm1G1oMFeLIjg%3d%3d; productHrefLink=%7B%22position%22%3A%22Catalog-AllList-%E7%AC%AC1%E9%A1%B5%22%2C%22positionNo%22%3A%22%22%2C%22productId%22%3A%226510%22%2C%22price%22%3A%22%EF%BF%A5912.00%22%7D; _ga=GA1.2.1648440311.1431308360; nTalk_CACHE_DATA={uid:kf_9925_ISME9754_guest456B4B11-D0DF-E8,tid:1431308327574065}; NTKF_T2D_CLIENTID=guest456B4B11-D0DF-E81F-7BD7-409FDC174BAF; _qzja=1.690078736.1431308327777.1431308327777.1431308327777.1431310139185.1431310176158.0.0.0.38.1; _qzjb=1.1431308327777.38.0.0.0; _qzjc=1; _qzjto=38.1.0; _jzqa=1.1248375507206652400.1431308328.1431308328.1431308328.1; _jzqc=1; _jzqb=1.59.10.1431308328.1
2015-05-11 10:16:11,123 pool-1-thread-1 INFO [PROXYSERVER - 238] - 3423023d-291f-4125-a6b6-48b7980006f8   cache-control: max-age=0
2015-05-11 10:16:11,124 pool-1-thread-1 INFO [PROXYSERVER - 238] - 3423023d-291f-4125-a6b6-48b7980006f8   if-modified-since: Mon, 11 May 2015 02:01:30 GMT
2015-05-11 10:16:11,124 pool-1-thread-1 INFO [PROXYSERVER - 238] - 3423023d-291f-4125-a6b6-48b7980006f8   accept-language: zh-CN,zh;q=0.8
2015-05-11 10:16:11,124 pool-1-thread-1 INFO [PROXYSERVER - 238] - 3423023d-291f-4125-a6b6-48b7980006f8   accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8
2015-05-11 10:16:11,124 pool-1-thread-1 INFO [PROXYSERVER - 238] - 3423023d-291f-4125-a6b6-48b7980006f8   accept-encoding: gzip,deflate,sdch
2015-05-11 10:16:11,277 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   HTTP/1.1 200 OK
2015-05-11 10:16:11,277 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Server: nginx/1.6.2
2015-05-11 10:16:11,277 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Date: Mon, 11 May 2015 02:15:09 GMT
2015-05-11 10:16:11,277 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Content-Type: text/html
2015-05-11 10:16:11,278 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Connection: close
2015-05-11 10:16:11,278 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Vary: Accept-Encoding
2015-05-11 10:16:11,278 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Last-Modified: Mon, 11 May 2015 02:07:59 GMT
2015-05-11 10:16:11,278 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   X-Powered-By: ASP.NET
2015-05-11 10:16:11,280 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Expires: Mon, 11 May 2015 02:25:09 GMT
2015-05-11 10:16:11,280 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Cache-Control: max-age=600
2015-05-11 10:16:11,280 pool-1-thread-1 INFO [PROXYSERVER - 297] - 3423023d-291f-4125-a6b6-48b7980006f8   Content-Encoding: gzip
2015-05-11 10:16:11,354 pool-1-thread-7 INFO [PROXYSERVER - 224] - 8f6f1740-4274-497a-8229-9a20883c5112   GET /content/dgH/js/util.js?v=20150507 HTTP/1.0
2015-05-11 10:16:11,354 pool-1-thread-4 INFO [PROXYSERVER - 224] - ea5ea92d-a0f1-4fc3-a006-0173d86eef46   GET /Content/jq/js/jquery-1.4.4.min.js HTTP/1.0
2015-05-11 10:16:11,354 pool-1-thread-7 INFO [PROXYSERVER - 230] - 8f6f1740-4274-497a-8229-9a20883c5112   host: res.m6go.com
